Air quality monitoring: NO2;;;
Unit: µg(NO2)/m³;;;
Year;Station;St.type;Average NO2
2018;Copenhagen/1259;Urban backgr.;13
2018;Odense/9159;Urban backgr.;11
2018;Aalborg/8159;Urban backgr.;11
2018;Århus/6159;Urban backgr.;0
2018;Aarhus/6160;Urban backgr.;12
2018;Anholt/6001;regional;5
2018;Keldsnor/9055;regional;8
2018;Risø;regional;8
2018;Risø/Lille Valby;regional;8
2018;Ulborg/7060;regional;4
2017;Copenhagen/1103;Street;38
2017;Copenhagen/1257;Street;28
2017;Odense/9156;Street;18
2017;Århus/6153;Street;28
2017;Hvidovre/2650;Urban backgr.;13
2017;Copenhagen/1259;Urban backgr.;16
2017;Odense/9159;Urban backgr.;10
2017;Aalborg/8159;Urban backgr.;11
2017;Aarhus/6160;Urban backgr.;12
2017;Keldsnor/9055;regional;7
2017;Risø;regional;7
2017;Risø/Lille Valby;regional;7
2016;Copenhagen/1103;Street;47
2016;Copenhagen/1257;Street;33
2016;Odense/9156;Street;19
2016;Århus/6153;Street;31
2016;Hvidovre/2650;Urban backgr.;13
2016;Copenhagen/1259;Urban backgr.;15
2016;Odense/9159;Urban backgr.;11
2016;Aalborg/8159;Urban backgr.;13
2016;Aarhus/6160;Urban backgr.;14
2016;Keldsnor/9055;regional;8
2016;Risø;regional;7
2016;Risø/Lille Valby;regional;7
2015;Copenhagen/1103;Street;49
2015;Copenhagen/1257;Street;33
2015;Odense/9155;Street;16
2015;Århus/6153;Street;31
2015;Hvidovre/2650;Urban backgr.;12
2015;Copenhagen/1259;Urban backgr.;16
2015;Odense/9159;Urban backgr.;11
2015;Aalborg/8159;Urban backgr.;12
2015;Aarhus/6160;Urban backgr.;13
2015;Keldsnor/9055;regional;7
2015;Risø;regional;8
2015;Risø/Lille Valby;regional;8
2014;Copenhagen/1103;Street;51
2014;Copenhagen/1257;Street;37
2014;Odense/9155;Street;23
2014;Aalborg/8151;Street;32
2014;Århus/6153;Street;34
2014;Copenhagen/1259;Urban backgr.;16
2014;Odense/9159;Urban backgr.;14
2014;Aalborg/8159;Urban backgr.;13
2014;Århus/6159;Urban backgr.;19
2014;Aarhus/6160;Urban backgr.;15
2014;Keldsnor/9055;regional;8
2014;Risø;regional;9
2014;Risø/Lille Valby;regional;9
2013;Copenhagen/1103;Street;55
2013;Copenhagen/1257;Street;38
2013;Odense/9155;Street;27
2013;Aalborg/8151;Street;32
2013;Århus/6153;Street;35
2013;Copenhagen/1259;Urban backgr.;16
2013;Odense/9159;Urban backgr.;14
2013;Aalborg/8159;Urban backgr.;13
2013;Århus/6159;Urban backgr.;19
2013;Keldsnor/9055;regional;7
2013;Risø;regional;9
2013;Risø/Lille Valby;regional;9
2012;Copenhagen/1103;Street;55
2012;Copenhagen/1257;Street;38
2012;Odense/9155;Street;26
2012;Aalborg/8151;Street;30
2012;Århus/6153;Street;35
2012;Copenhagen/1259;Urban backgr.;17
2012;Odense/9159;Urban backgr.;13
2012;Aalborg/8159;Urban backgr.;13
2012;Århus/6159;Urban backgr.;17
2012;Keldsnor/9055;regional;8
2012;Risø;regional;9
2012;Risø/Lille Valby;regional;9
2011;Copenhagen/1103;Street;54
2011;Copenhagen/1257;Street;40
2011;Odense/9155;Street;25
2011;Aalborg/8151;Street;31
2011;Århus/6153;Street;39
2011;Copenhagen/1259;Urban backgr.;18
2011;Odense/9159;Urban backgr.;16
2011;Aalborg/8159;Urban backgr.;13
2011;Århus/6159;Urban backgr.;20
2011;Keldsnor/9055;regional;10
2011;Risø;regional;9
2011;Risø/Lille Valby;regional;9
2010;Copenhagen/1103;Street;56
2010;Copenhagen/1257;Street;39
2010;Odense/9155;Street;32
2010;Aalborg/8151;Street;38
2010;Århus/6153;Street;39
2010;Copenhagen/1259;Urban backgr.;17
2010;Odense/9159;Urban backgr.;18
2010;Aalborg/8159;Urban backgr.;15
2010;Århus/6159;Urban backgr.;21
2010;Keldsnor/9055;regional;8
2010;Lille Valby/2090;regional;10
2010;Risø;regional;11
2010;Risø/Lille Valby;regional;11
2009;Copenhagen/1103;Street;50
2009;Copenhagen/1257;Street;43
2009;Odense/9155;Street;31
2009;Aalborg/8151;Street;41
2009;Århus/6153;Street;41
2009;Copenhagen/1259;Urban backgr.;18
2009;Odense/9159;Urban backgr.;16
2009;Aalborg/8159;Urban backgr.;17
2009;Århus/6159;Urban backgr.;19
2009;Keldsnor/9055;regional;9
2009;Lille Valby/2090;regional;10
2009;Risø/Lille Valby;regional;10
2008;Copenhagen/1103;Street;55
2008;Copenhagen/1257;Street;45
2008;Odense/9155;Street;29
2008;Aalborg/8151;Street;40
2008;Århus/6153;Street;41
2008;Copenhagen/1259;Urban backgr.;20
2008;Odense/9159;Urban backgr.;16
2008;Aalborg/8159;Urban backgr.;17
2008;Århus/6159;Urban backgr.;19
2008;Keldsnor/9055;regional;9
2008;Lille Valby/2090;regional;11
2008;Risø/Lille Valby;regional;11
2007;Copenhagen/1103;Street;52
2007;Copenhagen/1257;Street;41
2007;Odense/9155;Street;32
2007;Aalborg/8151;Street;34
2007;Århus/6153;Street;40
2007;Copenhagen/1259;Urban backgr.;19
2007;Odense/9159;Urban backgr.;17
2007;Aalborg/8159;Urban backgr.;16
2007;Århus/6159;Urban backgr.;19
2007;Keldsnor/9055;regional;9
2007;Lille Valby/2090;regional;9
2007;Risø/Lille Valby;regional;9
2006;Copenhagen/1103;Street;53
2006;Copenhagen/1257;Street;53
2006;Odense/9155;Street;34
2006;Aalborg/8151;Street;43
2006;Århus/6153;Street;45
2006;Copenhagen/1259;Urban backgr.;25
2006;Odense/9159;Urban backgr.;18
2006;Aalborg/8159;Urban backgr.;19
2006;Århus/6159;Urban backgr.;21
2006;Keldsnor/9055;regional;10
2006;Lille Valby/2090;regional;12
2006;Risø/Lille Valby;regional;12
2005;Copenhagen/1103;Street;54
2005;Copenhagen/1257;Street;47
2005;Odense/9155;Street;31
2005;Aalborg/8151;Street;40
2005;Århus/6153;Street;47
2005;Copenhagen/1259;Urban backgr.;23
2005;Odense/9159;Urban backgr.;18
2005;Aalborg/8159;Urban backgr.;18
2005;Århus/6159;Urban backgr.;22
2005;Keldsnor/9055;regional;10
2005;Lille Valby/2090;regional;12
2005;Risø/Lille Valby;regional;12
2004;Copenhagen/1103;Street;52
2004;Copenhagen/1257;Street;46
2004;Odense/9155;Street;32
2004;Aalborg/8151;Street;35
2004;Århus/6153;Street;45
2004;Copenhagen/1259;Urban backgr.;22
2004;Odense/9159;Urban backgr.;18
2004;Aalborg/8159;Urban backgr.;-
2004;Århus/6159;Urban backgr.;23
2004;Keldsnor/9055;regional;8
2004;Lille Valby/2090;regional;11
2004;Risø/Lille Valby;regional;11
2003;Copenhagen/1103;Street;59
2003;Copenhagen/1257;Street;47
2003;Odense/9155;Street;35
