Luftforureningsdata: Cd(PM10)
Enhed: ng/m³
År;Station;St.type;Middelværdi
1992;Odense/9155;Gade;<  2.00
1992;Aalborg/8151;Gade;<  2.00
1992;Lille Valby/2090;Regional;<  2.00
1992;Risø/Lille Valby;Regional;<  2.00
1991;København/1257;Gade;<  2.00
1991;Odense/9154;Gade;<  2.00
1991;Odense/9155;Gade;<  2.00
1991;Aalborg/8151;Gade;<  2.00
1991;Lille Valby/2090;Regional;<  2.00
1991;Risø/Lille Valby;Regional;<  2.00
1990;København/1257;Gade;<  2.00
1990;Odense/9154;Gade;<  2.00
1990;Odense/9155;Gade;<  2.00
1990;Aalborg/8151;Gade;<  2.00
1989;København/1257;Gade;<  2.00
1989;Odense/9154;Gade;<  2.00
1989;Odense/9155;Gade;<  2.00
1988;København/1257;Gade;<  2.00
1988;Odense/9154;Gade;<  2.00
1988;Odense/9155;Gade;<  2.00
1988;Aalborg/8151;Gade;<  2.00
1987;Odense/9154;Gade;<  2.00
1987;Aalborg/8151;Gade;<  2.00
1986;København/1103;Gade;<  2.00
1986;Aalborg/8151;Gade;<  2.00
1985;København/1103;Gade;<  2.00
1985;Odense/9154;Gade;<  2.00
1985;Aalborg/8151;Gade;<  2.00
1984;København/1103;Gade;<  2.00
1984;Odense/9154;Gade;<  2.00
1983;København/1103;Gade;<  2.00
1983;Odense/9154;Gade;<  2.00
