Air quality monitoring: NO;;;
Unit: µg/m³;;;
Year;Station;St.type;Average NO
2015;Odense/9159;Urban backgr.;2
2015;Aalborg/8159;Urban backgr.;3
2015;Aarhus/6160;Urban backgr.;3
2015;Keldsnor/9055;regional;1
2015;Risø;regional;1
2015;Risø/Lille Valby;regional;1
2014;Copenhagen/1103;Street;50
2014;Copenhagen/1257;Street;29
2014;Odense/9155;Street;15
2014;Aalborg/8151;Street;32
2014;Århus/6153;Street;28
2014;Copenhagen/1259;Urban backgr.;3
2014;Odense/9159;Urban backgr.;3
2014;Aalborg/8159;Urban backgr.;3
2014;Århus/6159;Urban backgr.;4
2014;Aarhus/6160;Urban backgr.;3
2014;Keldsnor/9055;regional;1
2014;Risø;regional;1
2014;Risø/Lille Valby;regional;1
2013;Copenhagen/1103;Street;55
2013;Copenhagen/1257;Street;31
2013;Odense/9155;Street;25
2013;Aalborg/8151;Street;39
2013;Århus/6153;Street;29
2013;Copenhagen/1259;Urban backgr.;3
2013;Odense/9159;Urban backgr.;3
2013;Aalborg/8159;Urban backgr.;4
2013;Århus/6159;Urban backgr.;6
2013;Keldsnor/9055;regional;1
2013;Risø;regional;1
2013;Risø/Lille Valby;regional;1
2012;Copenhagen/1103;Street;59
2012;Copenhagen/1257;Street;30
2012;Odense/9155;Street;22
2012;Aalborg/8151;Street;37
2012;Århus/6153;Street;28
2012;Copenhagen/1259;Urban backgr.;2
2012;Odense/9159;Urban backgr.;3
2012;Aalborg/8159;Urban backgr.;4
2012;Århus/6159;Urban backgr.;4
2012;Keldsnor/9055;regional;1
2012;Risø;regional;1
2012;Risø/Lille Valby;regional;1
2011;Copenhagen/1103;Street;53
2011;Copenhagen/1257;Street;31
2011;Odense/9155;Street;19
2011;Aalborg/8151;Street;32
2011;Århus/6153;Street;29
2011;Copenhagen/1259;Urban backgr.;3
2011;Odense/9159;Urban backgr.;3
2011;Aalborg/8159;Urban backgr.;3
2011;Århus/6159;Urban backgr.;6
2011;Keldsnor/9055;regional;1
2011;Risø;regional;1
2011;Risø/Lille Valby;regional;1
2010;Copenhagen/1103;Street;51
2010;Copenhagen/1257;Street;30
2010;Odense/9155;Street;29
2010;Aalborg/8151;Street;42
2010;Århus/6153;Street;31
2010;Copenhagen/1259;Urban backgr.;2
2010;Odense/9159;Urban backgr.;4
2010;Aalborg/8159;Urban backgr.;5
2010;Århus/6159;Urban backgr.;9
2010;Keldsnor/9055;regional;1
2010;Lille Valby/2090;regional;1
2010;Risø;regional;1
2010;Risø/Lille Valby;regional;1
2009;Copenhagen/1103;Street;37
2009;Copenhagen/1257;Street;31
2009;Odense/9155;Street;24
2009;Aalborg/8151;Street;46
2009;Århus/6153;Street;32
2009;Copenhagen/1259;Urban backgr.;3
2009;Odense/9159;Urban backgr.;3
2009;Aalborg/8159;Urban backgr.;5
2009;Århus/6159;Urban backgr.;5
2009;Keldsnor/9055;regional;1
2009;Lille Valby/2090;regional;1
2009;Risø/Lille Valby;regional;1
2008;Copenhagen/1103;Street;39
2008;Copenhagen/1257;Street;33
2008;Odense/9155;Street;24
2008;Aalborg/8151;Street;47
2008;Århus/6153;Street;31
2008;Copenhagen/1259;Urban backgr.;3
2008;Odense/9159;Urban backgr.;4
2008;Aalborg/8159;Urban backgr.;4
2008;Århus/6159;Urban backgr.;5
