﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P;<;0,001;mg/l;0,001;0,003;2
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P;<;0,003;mg/l;0,003;0,009000000000000001;2
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;7,2;mg/l;0,02;0,06;2
Station;10907;Egelund;1.07.01.00;32;648540,31;6085509,74;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3638b89e-d9d9-453f-8704-c5004afa3627;Egelund;32;648540,31;6085509,74;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;7,7;mg/l;0,005;0,015;2
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;23;mg/l;0,02;0,06;2
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,0035;mg/l;0,003;0,009000000000000001;1
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;23;mg/l;0,005;0,015;2
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,0013;mg/l;0,001;0,003;1
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,0011;mg/l;0,001;0,003;1
Station;10904;Slettemark;1.04.01.00;32;648285,66;6083290,5;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/50c5629b-2ec7-49dd-918f-58a011ad2c21;Slettemark;32;648285,66;6083290,5;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,0031;mg/l;0,003;0,009000000000000001;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,0018;mg/l;0,001;0,003;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;15;mg/l;0,005;0,015;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,0057;mg/l;0,003;0,009000000000000001;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;15;mg/l;0,02;0,06;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,0019;mg/l;0,001;0,003;2
Station;10905;Kragsminde;1.05.01.00;32;647611,3;6084829,08;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/641eda26-43fa-469d-adcf-e6e2ae67e039;Kragsminde;32;647611,3;6084829,08;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,0044;mg/l;0,003;0,009000000000000001;2
